Feature,Weight
cat__Sender_Sector_13151.0,1.0
cat__Sender_Sector_18837.0,0.9801541436424899
cat__Sender_Sector_8576.0,0.9691351290181085
cat__Sender_Sector_884.0,0.9628944280578711
cat__Sender_Sector_43047.0,0.9502725375212011
cat__Sender_Sector_47411.0,0.943419932507381
cat__Sender_Sector_24713.0,0.918373757818493
cat__Sender_Sector_40634.0,0.9119723917574495
cat__Sender_Sector_31576.0,0.9091197186457171
cat__Sender_Sector_47813.0,0.9079259127216853
cat__Sender_Sector_306.0,0.9070397298031025
cat__Sender_Sector_21496.0,0.9065699745685463
cat__Sender_Sector_6984.0,0.9044171891769295
cat__Sender_Sector_20561.0,0.8939533848772816
cat__Sender_Sector_21727.0,0.8917612107444738
cat__Sender_Sector_8709.0,0.8902868292613908
cat__Sender_Sector_39452.0,0.8896430452223816
cat__Sender_Sector_28557.0,0.8884217752590341
cat__Sender_Sector_33665.0,0.8823570281061264
cat__Sender_Sector_39324.0,0.8779766300690177
cat__Sender_Sector_15907.0,0.8734470909799616
cat__Sender_Sector_33595.0,0.8733027894364018
cat__Sender_Sector_35398.0,0.8705113136058273
cat__Sender_Sector_46716.0,0.8672173889775054
cat__Sender_Sector_2580.0,0.8665749094099772
cat__Sender_Sector_26951.0,0.8657192296538161
cat__Sender_Sector_784.0,0.8646849679559991
cat__Sender_Sector_28483.0,0.8631028684806337
cat__Sender_Sector_48562.0,0.859081144021454
cat__Sender_Sector_29378.0,0.8547718872329723
cat__Sender_Sector_41669.0,0.8530784812201551
cat__Sender_Sector_34253.0,0.8521056877104698
cat__Sender_Sector_40521.0,0.8506148160660638
cat__Sender_Sector_8202.0,0.8499750422155823
cat__Sender_Sector_7956.0,0.8445048039793934
cat__Sender_Sector_6262.0,0.8440165107995963
cat__Sender_Sector_4416.0,0.8414926284011176
cat__Sender_Sector_26294.0,0.8410673980699123
cat__Sender_Sector_43916.0,0.8337150446358439
cat__Sender_Sector_16812.0,0.8323597088779314
cat__Sender_Sector_3769.0,0.8289242607713676
cat__Sender_Sector_20867.0,0.8260537921316053
cat__Sender_Sector_33532.0,0.8259888929786723
cat__Sender_Sector_14658.0,0.8098594859874265
cat__Sender_Sector_11283.0,0.7742767066835652
cat__Sender_Sector_28642.0,0.7713387341757083
cat__Sender_Sector_23713.0,0.7557328264923422
cat__Sender_Sector_12264.0,0.7491055719236805
cat__Sender_Sector_42827.0,0.746038103898264
cat__Sender_Sector_12996.0,0.7436977778831375
cat__Sender_Sector_18131.0,0.743265626824799
cat__Sender_Sector_45841.0,0.7426619898277639
cat__Sender_Sector_29740.0,0.7411443277693068
cat__Sender_Sector_39896.0,0.7384808414086246
